icao24,ground_icao,ground_iata,ground_city,prev_dep_icao,prev_arr_icao,next_dep_icao,next_arr_icao,prev_arr_time_unix,next_dep_time_unix,prev_arr_time_utc,next_dep_time_utc,turnaround_min
c060be,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYZ,1757399364,1757428911,2025-09-09T06:29:24+00:00,2025-09-09T14:41:51+00:00,492
c060be,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYEG,1757444385,1757683170,2025-09-09T18:59:45+00:00,2025-09-12T13:19:30+00:00,3979
c060be,CYUL,YUL,Montreal,CYYC,CYUL,CYUL,CYYZ,1757959859,1757965171,2025-09-15T18:10:59+00:00,2025-09-15T19:39:31+00:00,88
c07fb1,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYYC,1756828787,1757170983,2025-09-02T15:59:47+00:00,2025-09-06T15:03:03+00:00,5703
c07fb1,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYVR,1757184765,1757189959,2025-09-06T18:52:45+00:00,2025-09-06T20:19:19+00:00,86
c07fb1,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757214064,1757220265,2025-09-07T03:01:04+00:00,2025-09-07T04:44:25+00:00,103
c07fb1,CYYC,YYC,Calgary,CYEG,CYYC,CYYC,CYYZ,1757280712,1757464875,2025-09-07T21:31:52+00:00,2025-09-10T00:41:15+00:00,3069
c07fb1,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYYC,1757477362,1757500598,2025-09-10T04:09:22+00:00,2025-09-10T10:36:38+00:00,387
c07fb1,CYEG,YEG,Edmonton,CYYZ,CYEG,CYEG,CYYZ,1757868869,1757955230,2025-09-14T16:54:29+00:00,2025-09-15T16:53:50+00:00,1439
c03003,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYUL,1756791911,1756815290,2025-09-02T05:45:11+00:00,2025-09-02T12:14:50+00:00,389
c03003,CYUL,YUL,Montreal,CYYC,CYUL,CYUL,CYYZ,1756828733,1756894324,2025-09-02T15:58:53+00:00,2025-09-03T10:12:04+00:00,1093
c03003,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYYC,1756897619,1756915984,2025-09-03T11:06:59+00:00,2025-09-03T16:13:04+00:00,306
c03003,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYUL,1756968980,1756988040,2025-09-04T06:56:20+00:00,2025-09-04T12:14:00+00:00,317
c03003,CYUL,YUL,Montreal,CYYC,CYUL,CYUL,CYYZ,1757000926,1757091525,2025-09-04T15:48:46+00:00,2025-09-05T16:58:45+00:00,1509
c03003,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYUL,1757095243,1757162589,2025-09-05T18:00:43+00:00,2025-09-06T12:43:09+00:00,1122
c03003,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1757166269,1757170562,2025-09-06T13:44:29+00:00,2025-09-06T14:56:02+00:00,71
c03003,CYYC,YYC,Calgary,CYUL,CYYC,CYYC,CYUL,1757435385,1757441378,2025-09-09T16:29:45+00:00,2025-09-09T18:09:38+00:00,99
c03003,CYUL,YUL,Montreal,CYYC,CYUL,CYUL,CYYZ,1757454591,1757614952,2025-09-09T21:49:51+00:00,2025-09-11T18:22:32+00:00,2672
c03003,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757649588,1757680028,2025-09-12T03:59:48+00:00,2025-09-12T12:27:08+00:00,507
c03003,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYEG,1757683902,1757737190,2025-09-12T13:31:42+00:00,2025-09-13T04:19:50+00:00,888
