date,dep_icao,arr_icao,flights,mean_duration_s,median_duration_s
2025-09-09,CYYC,CYEG,26,1943,1880
2025-09-09,CYYC,CYUL,6,13273,13215
2025-09-09,CYYC,CYVR,30,4231,3745
2025-09-09,CYYC,CYYZ,28,12595,12505
2025-09-09,CYYZ,CYEG,14,13743,13550
2025-09-09,CYYZ,CYUL,32,3668,3566
2025-09-09,CYYZ,CYVR,26,16531,16647
2025-09-09,CYYZ,CYYC,25,13609,13642
2025-09-10,CYEG,CYUL,1,12893,12893
2025-09-10,CYEG,CYVR,16,4097,4107
2025-09-10,CYEG,CYYC,22,2211,2181
2025-09-10,CYEG,CYYZ,9,12424,12366
2025-09-10,CYUL,CYVR,5,16986,17027
2025-09-10,CYUL,CYYC,5,14247,14365
2025-09-10,CYUL,CYYZ,30,3414,3362
2025-09-10,CYVR,CYEG,3,4017,3945
2025-09-10,CYVR,CYUL,4,16267,16408
2025-09-10,CYVR,CYYC,27,4214,3943
2025-09-10,CYVR,CYYZ,20,15478,15564
2025-09-10,CYYC,CYEG,1,1659,1659
2025-09-10,CYYC,CYUL,6,13396,13402
2025-09-10,CYYC,CYVR,29,4185,3753
2025-09-10,CYYC,CYYZ,20,12615,12574
2025-09-10,CYYZ,CYEG,3,13677,13601
2025-09-10,CYYZ,CYUL,29,3522,3524
2025-09-10,CYYZ,CYVR,23,16253,16290
2025-09-10,CYYZ,CYYC,25,13427,13531
2025-09-11,CYEG,CYVR,5,3982,4039
2025-09-11,CYEG,CYYC,6,2167,2108
2025-09-11,CYEG,CYYZ,3,12326,12278
2025-09-11,CYUL,CYEG,2,14892,14892
2025-09-11,CYUL,CYVR,5,17614,17623
2025-09-11,CYUL,CYYC,4,14831,14596
2025-09-11,CYUL,CYYZ,28,3419,3324
2025-09-11,CYVR,CYEG,11,4341,4231
2025-09-11,CYVR,CYUL,3,15862,16019
2025-09-11,CYVR,CYYC,28,4189,3952
2025-09-11,CYVR,CYYZ,19,15261,15251
2025-09-11,CYYC,CYEG,16,2068,2000
2025-09-11,CYYC,CYUL,6,13255,13287
2025-09-11,CYYC,CYVR,32,4489,3682
2025-09-11,CYYC,CYYZ,22,12321,12243
2025-09-11,CYYZ,CYEG,9,14208,14197
2025-09-11,CYYZ,CYUL,28,3445,3505
2025-09-11,CYYZ,CYVR,24,16695,16702
2025-09-11,CYYZ,CYYC,20,13847,13804
2025-09-12,CYEG,CYYC,1,2393,2393
2025-09-12,CYUL,CYEG,3,14801,14861
2025-09-12,CYUL,CYVR,6,17808,17974
2025-09-12,CYUL,CYYC,5,14737,15124
2025-09-12,CYUL,CYYZ,26,3388,3405
2025-09-12,CYVR,CYEG,19,4341,4252
2025-09-12,CYVR,CYUL,6,16113,16169
2025-09-12,CYVR,CYYC,31,4285,3869
2025-09-12,CYVR,CYYZ,22,15281,15272
2025-09-12,CYYC,CYEG,19,1868,1890
2025-09-12,CYYC,CYUL,6,13489,13450
2025-09-12,CYYC,CYVR,33,4243,3788
2025-09-12,CYYC,CYYZ,22,12364,12316
2025-09-12,CYYZ,CYEG,14,13815,13839
2025-09-12,CYYZ,CYUL,25,3591,3595
2025-09-12,CYYZ,CYVR,27,16870,16942
2025-09-12,CYYZ,CYYC,25,14018,13983
2025-09-13,CYUL,CYEG,2,14405,14405
2025-09-13,CYUL,CYVR,5,17511,17682
2025-09-13,CYUL,CYYC,4,13951,14059
2025-09-13,CYUL,CYYZ,22,3402,3339
2025-09-13,CYVR,CYEG,18,4073,4077
2025-09-13,CYVR,CYUL,4,16116,16081
2025-09-13,CYVR,CYYC,30,3993,3720
2025-09-13,CYVR,CYYZ,20,15181,15155
2025-09-13,CYYC,CYEG,16,1909,1844
2025-09-13,CYYC,CYUL,5,13353,13628
2025-09-13,CYYC,CYVR,30,4288,3925
2025-09-13,CYYC,CYYZ,18,12753,12727
2025-09-13,CYYZ,CYEG,13,13459,13407
2025-09-13,CYYZ,CYUL,24,3617,3505
2025-09-13,CYYZ,CYVR,23,16642,16556
2025-09-13,CYYZ,CYYC,19,13389,13360
2025-09-14,CYEG,CYYC,1,1930,1930
2025-09-14,CYUL,CYEG,1,14139,14139
2025-09-14,CYUL,CYVR,5,17160,17003
2025-09-14,CYUL,CYYC,4,13985,13950
2025-09-14,CYUL,CYYZ,27,3259,3226
2025-09-14,CYVR,CYEG,16,4047,4018
2025-09-14,CYVR,CYUL,4,16336,16360
2025-09-14,CYVR,CYYC,29,4037,3701
2025-09-14,CYVR,CYYZ,18,15337,15313
2025-09-14,CYYC,CYEG,17,1877,1825
2025-09-14,CYYC,CYUL,6,13456,13491
2025-09-14,CYYC,CYVR,28,4425,3988
2025-09-14,CYYC,CYYZ,20,12648,12629
2025-09-14,CYYZ,CYEG,12,13360,13268
2025-09-14,CYYZ,CYUL,24,3704,3697
2025-09-14,CYYZ,CYVR,27,16220,16116
2025-09-14,CYYZ,CYYC,23,13736,13678
2025-09-15,CYEG,CYUL,2,13542,13542
2025-09-15,CYEG,CYVR,12,4383,4388
2025-09-15,CYEG,CYYC,16,2284,2322
2025-09-15,CYEG,CYYZ,9,13087,13083
2025-09-15,CYUL,CYEG,1,14385,14385
2025-09-15,CYUL,CYVR,6,16828,16854
2025-09-15,CYUL,CYYC,5,14028,13995
2025-09-15,CYUL,CYYZ,27,3538,3483
2025-09-15,CYVR,CYEG,6,4023,4031
2025-09-15,CYVR,CYUL,7,16710,16670
2025-09-15,CYVR,CYYC,30,4264,3977
2025-09-15,CYVR,CYYZ,20,15845,15899
2025-09-15,CYYC,CYEG,6,1703,1663
2025-09-15,CYYC,CYUL,6,13914,13939
2025-09-15,CYYC,CYVR,35,4273,3853
2025-09-15,CYYC,CYYZ,22,13047,13081
2025-09-15,CYYZ,CYEG,3,13491,13309
2025-09-15,CYYZ,CYUL,26,3786,3782
2025-09-15,CYYZ,CYVR,26,16031,16003
2025-09-15,CYYZ,CYYC,21,13214,13192
